,1,2,3,4,5,6,7,8,9,10,11
biomass_dilution,0.0817251205444336,0.1677379608154297,0.25400447845458984,0.34029293060302734,0.42644405364990234,0.5124015808105469,0.5795021057128906,0.6167936325073242,0.6345834732055664,0.6343536376953125,0.6341228485107422
protein_biomass_to_biomass,0.037482189562521986,0.07559412574181856,0.11274151788648228,0.14912212206295028,0.18499956841306978,0.22044398144172433,0.24769716879722142,0.2625859880248664,0.26970111166699695,0.269608946180934,0.2695163984213614
mRNA_biomass_to_biomass,0.00012327661893102326,0.0002948563907342706,0.0005062972512894046,0.0007571794549169646,0.0010470339393338429,0.0013748015993709682,0.0016573235175329883,0.0018242625612524303,0.0019055248116734513,0.0019044716989734273,0.0019034143617008084
tRNA_biomass_to_biomass,0.0007448877610690744,0.001782148754857967,0.0030596161682522396,0.004574967196381785,0.006325244940971081,0.008303938490430322,0.010002017466069385,0.011008730566032346,0.011424802555350713,0.011418588150361612,0.011412348286863236
rRNA_biomass_to_biomass,0.005310304627869035,0.012708302955826475,0.021817578330595434,0.0326228240076867,0.045102783160869526,0.05921078427965059,0.07136656050573721,0.07856890643677032,0.0820720003173278,0.08202694794817986,0.08198171364036792
ncRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.004845926987901815,0.009897760259748012,0.014684636131610626,0.018706845745930782,0.02144139070101061,0.02278562043011216,0.02313926126965939,0.023193856586185523,0.023202662880665893,0.02320259059931927,0.023202517149516055
lipid_biomass_to_biomass,0.009427808675120854,0.019350248633319408,0.02930195280888866,0.03925618734911778,0.04919457960625901,0.059110638644880496,0.066851354186995,0.0711533041563427,0.07320553991135413,0.07317902609035286,0.07315240225349681
constituent_biomass_to_biomass,0.0026623166668031896,0.0054643121449016365,0.008274571538437038,0.011085545481051572,0.013892045725083697,0.016692239296808672,0.018878138131936423,0.02009296476851971,0.02067249513904946,0.020665007907394176,0.020657489608387626
prosthetic_group_biomass_to_biomass,4.4678015298001426e-05,0.00012451020445040784,0.00020120452788788745,0.00028606564458194376,0.000379149930953067,0.00047983706659939445,0.0005806243893017392,0.000661001143367439,0.0006924606104622475,0.0006930268930219174,0.0006935906770325437
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_5drib_c,5.477663660875799e-05,0.000112648622648304,0.00017091944903416636,0.00022943367911982727,0.00028808285986365917,0.00034682737931468867,0.0003928424541221059,0.00041847538452678153,0.0004307185625438283,0.00043056032507009646,0.00043040143264157005
DM_amob_c,1.832723284594061e-05,3.783749212462236e-05,5.763345164341928e-05,7.766303207087706e-05,9.788881193580275e-05,0.00011829627427318475,0.0001343845149741567,0.00014338542442851495,0.0001476943334941457,0.00014763860265798706,0.00014758264220577903
DM_C100aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C100pPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C101PAH_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C120aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C121aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C121d6PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C140aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C141aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C141d5PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C142PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C40aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C40atPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C40pPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C50aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C50pPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C60aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C60atPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C60pPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12dgr160_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12dgr180_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_13dampp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1ag160_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1ag180_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1ag181d9_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_1ag182d9d12_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_25dkglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap__M_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_AEP_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2dhglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2435005803796395,1.4286118389945124,2.6137387823620184
EX_2m35mdntha_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhbz_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhcinm_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhphe_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_35dnta_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3h4atb_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3mb_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_btd_RR_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_btn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_butso3_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_bz_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ca2_e,-1.3722291107975992e-11,-6.5218657976277e-11,-1.6657451992309198e-10,-3.295516392064591e-10,-5.655128800634251e-10,-8.856284157315165e-10,-1.2571835287067455e-09,-1.6335659429794546e-09,0.0,0.0,0.0
EX_carn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_catechol_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cbi_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cbl1_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cd2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cell4_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cgly_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_chol_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_chols_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
