# Obtained from Table 2 of Nogales et al. https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1462-2920.14843
Source,uptake,gluconate,2-ketogluconate,iJN746,iEB1050,PpuQY1140,iJN1462,In vivo,Reference
Gluconate,5.1,NA,NA,0.58/NA,0.67/NA,0.37/NA,0.47/NA,0.43/NA,del Castillo et al. (2007)
Glucose,6.3,NA,NA,0.76/NA,0.91/NA,0.50/NA,0.61/NA,0.56/NA,del Castillo et al. (2007)
#Glucose,7.3,NA,NA,0.86/NA,1.05/NA,0.59/NA,0.71/NA,0.73/NA,Ebert et al. (2011)
Glucose,10.9,2.8,2.6,0.70/NA,0.81/NA,0.49/NA,0.57/NA,0.57/NA,Blank et al. (2008)
#Octanoate,3.4,NA,NA,0.31/1.9,NA/NA,NA/NA,0.2912/1.11,0.29/1.5,Escapa et al. (2012)

# From https://onlinelibrary.wiley.com/doi/10.1111/gcbb.12590#:~:text=With%20glucose%2C%20P.,containing%20media%20after%2034%20hr.
Glucose,9.16,NA,NA,NA/NA,NA/NA,NA/NA,NA/NA,0.61,Wang et al. (2019)

# From https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4646247/
Glucose,6.14,NA,NA,NA/NA,NA/NA,NA/NA,NA/NA,0.55,Nikel et al. (2015)

# From https://bmcbiotechnol.biomedcentral.com/articles/10.1186/1472-6750-13-93
Glucose,8.26,NA,NA,NA/NA,NA/NA,NA/NA,NA/NA,0.59,van Duuren et al. (2013)

