,fluxes
3HAD160,0.005140839253717585
13DAMPPabcpp,0.0
13DAMPPtex,0.0
15DAPabcpp,0.0
1P2CBXLCYCL,0.0
1P2CBXLR,0.0
1PPDCRc,0.0
1PQQS,3.21175838470459e-05
1PY4h3cAH,0.0
23CTI1,0.0
23CTI2,0.0
23CTI3,0.0
24DECOAR,0.0
25DKGLCNt2rpp,0.0
25DKGLCNtex,0.0
26DAHtex,0.0
2AACLPGT160,0.0
2AACLPGT161,0.0
2AACLPGT180,0.0
2AACLPGT181,0.0
2AACLPPEAT160,0.0
2AACLPPEAT161,0.0
2AACLPPEAT180,0.0
2AACLPPEAT181,0.0
2AGPE160tipp,0.0
2AGPE161tipp,0.0
2AGPE180tipp,0.0
2AGPE181tipp,0.0
2AGPG160tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2DHGLCK,0.0
2DHGLCNkt_tpp,0.0
2DHGLCNtex,0.0
2PQQS,3.21175838470459e-05
34DHCINMtex,0.0
34DHCINMtpp,0.0
34DHPHEtex,0.0
34DHPHEtpp,0.0
34HPPOR,0.0
3AIBT2,0.0
3HAACOAT100,0.0
3HAACOAT120,0.0
3HAACOAT121,0.0
3HAACOAT140,-0.005263276584224414
3HAACOAT141,0.005263276584224414
3HAACOAT60,0.0
3HAACOAT80,0.0
3HAD100,0.03835563866955872
3HAD120,0.002504886573460791
3HAD121,0.033345774175955877
3HAD140,0.005263273344723763
3HAD141,0.028082415495679174
ACOAD31f,0.0
ACOAD32f,0.0
ACOAD33f,0.0
ACOAD34f,0.0
ACOAD3f,0.0
ACOAD4f,0.0
ACOAD5f,0.0
ACOAD6f,0.0
ACOAD7f,0.0
ACOAD8f,0.0
ACOADH1,0.0
ACOADH2,0.0
ACOATA,4.116700838552312e-08
ACODA,0.05479566855046857
ACONCt4pp,0.0
ACONCtex,0.0
ACONIs,0.0
ACONMT,0.0
ACONTa,1.8121415854904024
ACONTb,1.8121415854904024
ACOTA,-0.05479566855046857
ACPPAT120,0.0
ACPPAT140,0.0
ACPPAT141,0.0
ACPPAT160,0.0
ACPPAT161,0.0
ACPPAT180,0.0
